year,inf_multiplier
1990,1.92141453831041
1991,1.84381139489194
1992,1.78978388998035
1993,1.737721021611
1994,1.69351669941061
1995,1.64734774066798
1996,1.60019646365422
1997,1.56385068762279
1998,1.53929273084479
1999,1.50589390962672
2000,1.45677799607073
2001,1.41650294695481
2002,1.39489194499018
2003,1.36345776031434
2004,1.32711198428291
2005,1.28388998035363
2006,1.24361493123772
2007,1.21021611001965
2008,1.16601178781925
2009,1.16994106090373
2010,1.15225933202358
2011,1.11591355599214
2012,1.09332023575639
2013,1.07760314341847
2014,1.05992141453831
2015,1.05893909626719
2016,1.04518664047151
2017,1.02357563850688
2018,1
2019,0.982318271119843